Nb Loops;If Clean;If FP Vect;If Fully Vect;
1;1.0303;1.0189;1.0343;
2;1.034;1.0238;1.0512;
3;1.0368;1.0278;1.0673;
4;1.0373;1.0306;1.0807;
5;1.0377;1.0313;1.0931;
6;1.0381;1.0319;1.0979;
7;1.0383;1.0322;1.1025;
8;1.0385;1.0325;1.106;
9;1.0385;1.0326;1.1093;
10;1.0385;1.0328;1.1122;
11;1.0385;1.033;1.1138;
12;1.0385;1.0331;1.1149;
13;1.0385;1.0331;1.1155;
14;1.0385;1.0331;1.1161;
15;1.0385;1.0331;1.1168;
16;1.0385;1.0331;1.1174;
17;1.0385;1.0331;1.1178;
18;1.0385;1.0331;1.1181;
19;1.0385;1.0331;1.1184;
20;1.0385;1.0331;1.1187;
21;1.0385;1.0331;1.119;
22;1.0385;1.0331;1.1192;
23;1.0385;1.0331;1.1194;
24;1.0385;1.0331;1.1194;
